,University,CNCI,TOP
434,Massey University,77.6,6.5
435,Mayo Clinic Alix School of Medicine,84.8,4.0
436,National Institute of Technology Kurukshetra,91.7,0.0
437,National Tsing Hua University,56.9,21.6
438,Nazarbayev University,74.9,6.9
439,Nottingham Trent University,78.0,6.1
440,NOVA University Lisbon,73.2,10.5
441,Ocean University of China,71.3,6.5
442,Ontario Tech University,72.8,13.3
443,Oregon State University,57.7,27.6
444,Osaka University,54.0,23.7
445,Polytechnic University of Turin,61.6,10.7
446,Prince Sultan University,83.4,3.2
447,Queen's University,69.0,12.3
448,Rice University,64.6,28.1
449,Rochester Institute of Technology,61.9,22.2
450,Shandong University of Finance and Economics,81.4,4.0
451,ShanghaiTech University,66.5,21.2
452,Sharif University of Technology,62.1,13.9
453,Stockholm University,75.5,12.3
454,The George Washington University,72.6,10.7
455,The University of Georgia,70.1,13.7
456,Trinity College Dublin,65.3,13.1
457,TU Dresden,60.2,21.6
458,Universidad Publica de Navarra,76.0,5.1
459,University of Aizu,75.1,5.6
460,University of Aveiro,73.0,7.6
461,University of Bath,68.4,20.1
462,University of Cagliari,73.2,7.9
463,University of Campinas,59.6,16.2
464,University of Chile,64.4,13.1
465,University of Cincinnati,72.5,8.9
466,University of Connecticut,65.5,14.8
467,University of Delaware,66.2,18.2
468,University of Duisburg-Essen,72.8,11.2
469,University of Geneva,73.5,9.4
470,University of Goettingen,77.5,10.5
471,University of Groningen,64.1,12.3
472,University of Hamburg,70.8,14.7
473,University of Jyvaskyla,82.5,5.1
474,University of Konstanz,72.1,13.7
475,University of Lille,57.0,21.3
476,University of Ljubljana,69.7,12.1
477,University of Lorraine,61.1,15.0
478,University of Malaga,62.0,10.0
479,University of Missouri - Columbia,73.8,10.5
480,University of New Brunswick,78.0,6.9
481,University of Paris,56.7,23.1
482,University of Porto,65.7,11.7
483,University of Salamanca,77.7,3.2
484,University of Seville,63.2,7.6
485,University of Shanghai for Science and Technology,71.1,6.9
486,University of Strathclyde,69.1,11.2
487,University of Tasmania,76.5,6.9
488,University of Tennessee - Knoxville,63.4,14.5
489,University of Turku,78.0,9.2
490,University of Vienna,64.3,17.4
491,University of Windsor,72.3,7.9
492,University of York,60.1,19.0
493,UOC Universitat Oberta de Catalunya,84.7,3.2
494,Uppsala University,65.2,19.4
495,Virginia Commonwealth University,72.9,7.6
496,Vrije Universiteit Brussel (VUB),68.1,11.0
497,Wageningen University & Research,81.1,4.0
498,Zhejiang Normal University,83.0,6.9
499,Zhengzhou University,68.5,7.9
